Brand,Model,Range (km),Efficiency (Wh/km),Battery (kWh)
Audi,Q4 e-tron 40,405 km,189 Wh/km,"76,6 kWh"
XPENG,G6 RWD Long Range,480 km,182 Wh/km,"87,5 kWh"
BMW,i4 eDrive40,515 km,158 Wh/km,"81,3 kWh"
BYD,SEAL U 87 kWh Design,425 km,205 Wh/km,"87,0 kWh"
Tesla,Model Y Long Range RWD,455 km,165 Wh/km,"75,0 kWh"
Skoda,Enyaq iV 80,440 km,175 Wh/km,"77,0 kWh"
CUPRA,Born 170 kW - 77 kWh,450 km,171 Wh/km,"77,0 kWh"
Peugeot,e-3008 97 kWh Long Range,500 km,194 Wh/km,"96,9 kWh"
Tesla,Model 3 Long Range Dual Motor,465 km,155 Wh/km,"72,0 kWh"
Nissan,Ariya 87kWh,450 km,193 Wh/km,"87,0 kWh"
Volkswagen,ID.3 Pro,350 km,166 Wh/km,"58,0 kWh"
Hyundai,INSTER Standard Range,250 km,156 Wh/km,"39,0 kWh"
Tesla,Model S 75D,380 km,191 Wh/km,"72,5 kWh"
Audi,Q4 e-tron 45,420 km,183 Wh/km,"77,0 kWh"
Kia,EV6 Long Range 2WD,460 km,174 Wh/km,"80,0 kWh"
BYD,TANG Flagship,460 km,237 Wh/km,"108,8 kWh"
Rolls-Royce,Spectre,465 km,219 Wh/km,"102,0 kWh"
Hyundai,Kona Electric 64 kWh,390 km,164 Wh/km,"64,0 kWh"
Ford,Explorer Extended Range RWD,435 km,177 Wh/km,"77,0 kWh"
Audi,Q6 e-tron quattro,480 km,198 Wh/km,"94,9 kWh"
Audi,A6 Avant e-tron performance,565 km,168 Wh/km,"94,9 kWh"
BYD,TANG,355 km,243 Wh/km,"86,4 kWh"
BYD,SEALION 7 82.5 kWh RWD Comfort,425 km,194 Wh/km,"82,5 kWh"
Fiat,Grande Panda,260 km,168 Wh/km,"43,8 kWh"
BYD,SEAL 82.5 kWh RWD Design,480 km,172 Wh/km,"82,5 kWh"
Kia,e-Niro 64 kWh,375 km,171 Wh/km,"64,0 kWh"
Volvo,ES90 Twin Motor,530 km,192 Wh/km,"102,0 kWh"
Skoda,Elroq 60,350 km,169 Wh/km,"59,0 kWh"
Hongqi,E-HS9 99 kWh,370 km,243 Wh/km,"90,0 kWh"
Lynk&Co,02,375 km,176 Wh/km,"66,0 kWh"
Hyundai,IONIQ 5 Long Range AWD,385 km,192 Wh/km,"74,0 kWh"
Tesla,Model Y Long Range AWD Launch Series,450 km,167 Wh/km,"75,0 kWh"
Renault,4 E-Tech 52kWh 150hp,315 km,165 Wh/km,"52,0 kWh"
BMW,iX xDrive50,505 km,208 Wh/km,"105,2 kWh"
MG,MG4 Electric 51 kWh,300 km,169 Wh/km,"50,8 kWh"
Skoda,Enyaq 85,450 km,171 Wh/km,"77,0 kWh"
Opel,Corsa-e,295 km,157 Wh/km,"46,3 kWh"
Tesla,Model S 100D,485 km,196 Wh/km,"95,0 kWh"
Nissan,Leaf,235 km,166 Wh/km,"39,0 kWh"
Citroen,e-C4,290 km,160 Wh/km,"46,3 kWh"
Dacia,Spring Electric 45,165 km,152 Wh/km,"25,0 kWh"
Mercedes-Benz,G 580,360 km,322 Wh/km,"116,0 kWh"
BMW,i5 eDrive40 Sedan,470 km,173 Wh/km,"81,2 kWh"
Volkswagen,ID.4 Pro Performance,410 km,188 Wh/km,"77,0 kWh"
Kia,EV9 99.8 kWh AWD,435 km,221 Wh/km,"96,0 kWh"
Tesla,Model 3 Standard Range Plus LFP,350 km,150 Wh/km,"52,5 kWh"
Hyundai,IONIQ 5 Long Range 2WD,390 km,190 Wh/km,"74,0 kWh"
BMW,i4 M50,450 km,179 Wh/km,"80,7 kWh"
Toyota,bZ4X AWD,345 km,186 Wh/km,"64,0 kWh"
Peugeot,e-3008 73 kWh,380 km,192 Wh/km,"73,0 kWh"
Peugeot,e-208,285 km,162 Wh/km,"46,3 kWh"
Dongfeng,Box 42.3 kWh,255 km,157 Wh/km,"40,0 kWh"
Polestar,2 Long Range Single Motor,420 km,179 Wh/km,"75,0 kWh"
BYD,SEAL U 71.8 kWh Comfort,360 km,199 Wh/km,"71,8 kWh"
Hyundai,IONIQ Electric,190 km,147 Wh/km,"28,0 kWh"
Lexus,RZ 450e,350 km,183 Wh/km,"64,0 kWh"
BMW,i4 eDrive35,430 km,156 Wh/km,"67,1 kWh"
MG,ZS EV,220 km,193 Wh/km,"42,5 kWh"
Tesla,Model 3 Performance,470 km,162 Wh/km,"76,0 kWh"
Honda,e:Ny1,335 km,185 Wh/km,"61,9 kWh"
Volvo,EX40 Single Motor ER,400 km,198 Wh/km,"79,0 kWh"
Polestar,4 Long Range Single Motor,495 km,190 Wh/km,"94,0 kWh"
MG,MG5 Electric Long Range,335 km,171 Wh/km,"57,4 kWh"
Zeekr,7X Performance AWD,475 km,198 Wh/km,"94,0 kWh"
Audi,Q8 e-tron 55 quattro,505 km,210 Wh/km,"106,0 kWh"
Lucid,Air Dream Edition R,685 km,172 Wh/km,"118,0 kWh"
XPENG,G9 RWD Long Range,480 km,194 Wh/km,"93,1 kWh"
Porsche,Macan 4 Electric,485 km,196 Wh/km,"95,0 kWh"
Mazda,MX-30,170 km,176 Wh/km,"30,0 kWh"
Hyundai,IONIQ 6 Standard Range 2WD,335 km,149 Wh/km,"50,0 kWh"
Jeep,Avenger Electric,310 km,164 Wh/km,"50,8 kWh"
BMW,i7 xDrive60,510 km,199 Wh/km,"101,7 kWh"
Opel,Grandland 73 kWh,365 km,200 Wh/km,"73,0 kWh"
NIO,ET5 Long Range,500 km,180 Wh/km,"90,0 kWh"
Zeekr,001 Performance AWD,480 km,196 Wh/km,"94,0 kWh"
Hyundai,IONIQ 5 84 kWh AWD,440 km,182 Wh/km,"80,0 kWh"
Peugeot,e-5008 73 kWh,370 km,197 Wh/km,"73,0 kWh"
Leapmotor,C10,355 km,197 Wh/km,"69,9 kWh"
Tesla,Model X 100D,435 km,218 Wh/km,"95,0 kWh"
Volkswagen,ID.3 Pro,350 km,166 Wh/km,"58,0 kWh"
Volkswagen,ID.7 Tourer Pro S,520 km,165 Wh/km,"86,0 kWh"
Smart,EQ fortwo coupe,100 km,167 Wh/km,"16,7 kWh"
Hyundai,IONIQ 5 Standard Range 2WD,295 km,183 Wh/km,"54,0 kWh"
BYD,SEALION 7 82.5 kWh AWD Design,405 km,204 Wh/km,"82,5 kWh"
BMW,iX xDrive60,525 km,208 Wh/km,"109,1 kWh"
Tesla,Model 3 Performance,460 km,163 Wh/km,"75,0 kWh"
XPENG,G6 RWD Standard Range,370 km,178 Wh/km,"66,0 kWh"
Volvo,ES90 Twin Motor Performance,530 km,192 Wh/km,"102,0 kWh"
Dacia,Spring Electric 45,165 km,152 Wh/km,"25,0 kWh"
Hyundai,IONIQ 6 Long Range AWD,440 km,168 Wh/km,"74,0 kWh"
Polestar,2 Long Range Dual Motor,390 km,192 Wh/km,"75,0 kWh"
Peugeot,e-2008 SUV,260 km,178 Wh/km,"46,3 kWh"
Peugeot,e-5008 97 kWh Long Range,485 km,200 Wh/km,"96,9 kWh"
Skoda,Enyaq iV 60,340 km,171 Wh/km,"58,0 kWh"
DS,N°8 AWD Long Range,535 km,182 Wh/km,"97,2 kWh"
Volkswagen,ID.4 Pure,285 km,182 Wh/km,"52,0 kWh"
Mercedes-Benz,EQE 350+,555 km,173 Wh/km,"96,0 kWh"
Zeekr,001 Long Range RWD,505 km,186 Wh/km,"94,0 kWh"
Lucid,Air Grand Touring,665 km,168 Wh/km,"112,0 kWh"
Polestar,4 Long Range Dual Motor,485 km,194 Wh/km,"94,0 kWh"
Renault,Megane E-Tech EV60 220hp,380 km,158 Wh/km,"60,0 kWh"
MG,Cyberster GT,400 km,186 Wh/km,"74,4 kWh"
Volkswagen,ID.7 Tourer GTX,480 km,179 Wh/km,"86,0 kWh"
BMW,i4 eDrive35,430 km,156 Wh/km,"67,0 kWh"
Audi,e-tron GT quattro,420 km,202 Wh/km,"85,0 kWh"
Voyah,Free 106 kWh,480 km,208 Wh/km,"100,0 kWh"
DS,N°8 FWD Long Range,555 km,175 Wh/km,"97,2 kWh"
Nissan,Leaf e+,345 km,171 Wh/km,"59,0 kWh"
MG,MG4 Electric 77 kWh,425 km,175 Wh/km,"74,4 kWh"
Polestar,2 Long Range Single Motor,475 km,166 Wh/km,"79,0 kWh"
Tesla,Model S 85D,420 km,192 Wh/km,"80,8 kWh"
Opel,Mokka-e 50 kWh,260 km,178 Wh/km,"46,3 kWh"
Mercedes-Benz,EQA 250+,420 km,168 Wh/km,"70,5 kWh"
Skoda,Elroq 50,310 km,168 Wh/km,"52,0 kWh"
Tesla,Model 3 Long Range Dual Motor,490 km,155 Wh/km,"76,0 kWh"
Volvo,EX30 Single Motor,275 km,178 Wh/km,"49,0 kWh"
Peugeot,e-2008 54 kWh,300 km,169 Wh/km,"50,8 kWh"
CUPRA,Tavascan Endurance,445 km,173 Wh/km,"77,0 kWh"
Hyundai,IONIQ 5 63 kWh RWD,345 km,174 Wh/km,"60,0 kWh"
Honda,e,170 km,168 Wh/km,"28,5 kWh"
Tesla,Model S 85,405 km,199 Wh/km,"80,8 kWh"
Hyundai,IONIQ 5 N,390 km,205 Wh/km,"80,0 kWh"
Kia,EV6 Long Range AWD,450 km,178 Wh/km,"80,0 kWh"
Mini,Cooper SE,330 km,149 Wh/km,"49,2 kWh"
Ford,Puma Gen-E,275 km,159 Wh/km,"43,6 kWh"
BMW,iX xDrive45,470 km,202 Wh/km,"94,8 kWh"
Tesla,Model S 90D,455 km,188 Wh/km,"85,5 kWh"
Hyundai,IONIQ 9 Long Range AWD,480 km,221 Wh/km,"106,0 kWh"
Volkswagen,ID.5 Pro,455 km,169 Wh/km,"77,0 kWh"
Audi,A6 Sportback e-tron quattro,585 km,162 Wh/km,"94,9 kWh"
Renault,Zoe ZE50 R135,310 km,168 Wh/km,"52,0 kWh"
Hyundai,IONIQ 5 Long Range 2WD,370 km,189 Wh/km,"70,0 kWh"
Volkswagen,ID. Buzz Pro,345 km,223 Wh/km,"77,0 kWh"
Kia,EV6 Long Range AWD,400 km,185 Wh/km,"74,0 kWh"
Ford,Capri Extended Range AWD,455 km,174 Wh/km,"79,0 kWh"
BMW,iX2 xDrive30,385 km,168 Wh/km,"64,7 kWh"
Kia,EV6 GT,360 km,206 Wh/km,"74,0 kWh"
Opel,Corsa Electric 51 kWh,315 km,153 Wh/km,"48,1 kWh"
NIO,ET7 Standard Range,415 km,177 Wh/km,"73,5 kWh"
Tesla,Model S P100D,475 km,200 Wh/km,"95,0 kWh"
Mercedes-Benz,EQE 300,525 km,170 Wh/km,"89,0 kWh"
CUPRA,Born 170 kW - 77 kWh,460 km,167 Wh/km,"77,0 kWh"
Tesla,Model S Long Range,530 km,179 Wh/km,"95,0 kWh"
Subaru,Solterra AWD,320 km,200 Wh/km,"64,0 kWh"
BMW,iX2 eDrive20,395 km,164 Wh/km,"64,7 kWh"
Volkswagen,e-Up!,205 km,158 Wh/km,"32,3 kWh"
XPENG,G6 AWD Performance,475 km,184 Wh/km,"87,5 kWh"
Smart,#1 Pro+,335 km,185 Wh/km,"62,0 kWh"
Smart,#3 Brabus,335 km,185 Wh/km,"62,0 kWh"
Tesla,Model 3 Long Range Performance,440 km,167 Wh/km,"73,5 kWh"
Porsche,Macan Electric,510 km,186 Wh/km,"95,0 kWh"
Mercedes-Benz,EQS SUV 450 4MATIC,530 km,223 Wh/km,"118,0 kWh"
Hyundai,Kona Electric 48 kWh,295 km,164 Wh/km,"48,4 kWh"
CUPRA,Tavascan VZ,425 km,181 Wh/km,"77,0 kWh"
Volvo,EX90 Twin Motor,465 km,230 Wh/km,"107,0 kWh"
Volkswagen,ID.7 Tourer Pro,470 km,164 Wh/km,"77,0 kWh"
Ford,Capri Extended Range RWD,455 km,169 Wh/km,"77,0 kWh"
Porsche,Taycan Plus,575 km,169 Wh/km,"97,0 kWh"
Volkswagen,ID.3 Pure,320 km,163 Wh/km,"52,0 kWh"
Renault,Twingo Electric,135 km,158 Wh/km,"21,3 kWh"
Porsche,Taycan 4S,395 km,180 Wh/km,"71,0 kWh"
Peugeot,e-208 51 kWh,310 km,155 Wh/km,"48,1 kWh"
Mercedes-Benz,B 250e,150 km,187 Wh/km,"28,0 kWh"
Kia,EV6 Standard Range 2WD,355 km,169 Wh/km,"60,0 kWh"
Volvo,EX30 Twin Motor Performance,335 km,191 Wh/km,"64,0 kWh"
Hyundai,Kona Electric 39 kWh,245 km,160 Wh/km,"39,2 kWh"
Peugeot,e-2008 SUV,270 km,171 Wh/km,"46,3 kWh"
Volvo,ES90 Single Motor,485 km,181 Wh/km,"88,0 kWh"
Tesla,Model X Dual Motor,485 km,196 Wh/km,"95,0 kWh"
BMW,i4 M50,450 km,181 Wh/km,"81,3 kWh"
Tesla,Model Y Long Range Dual Motor,425 km,169 Wh/km,"72,0 kWh"
Volvo,XC40 Recharge Pure Electric,330 km,203 Wh/km,"67,0 kWh"
Dacia,Spring Electric 65,160 km,156 Wh/km,"25,0 kWh"
MG,ZS EV Standard Range,265 km,185 Wh/km,"49,0 kWh"
Volkswagen,ID.3 Pro S,450 km,171 Wh/km,"77,0 kWh"
Audi,Q6 e-tron performance,490 km,194 Wh/km,"94,9 kWh"
Porsche,Taycan,410 km,173 Wh/km,"71,0 kWh"
Ford,Mustang Mach-E ER RWD,480 km,190 Wh/km,"91,0 kWh"
Mercedes-Benz,EQS 450+,635 km,170 Wh/km,"107,8 kWh"
Volkswagen,ID.3 Pro,360 km,164 Wh/km,"59,0 kWh"
Lotus,Eletre,495 km,220 Wh/km,"109,0 kWh"
Polestar,2,390 km,192 Wh/km,"75,0 kWh"
Mercedes-Benz,EQB 300 4MATIC,345 km,193 Wh/km,"66,5 kWh"
Mazda,6e Long Range,440 km,170 Wh/km,"75,0 kWh"
Mercedes-Benz,EQS 580 4MATIC,590 km,184 Wh/km,"108,4 kWh"
Opel,Astra Electric,320 km,159 Wh/km,"50,8 kWh"
Polestar,2 Long Range Single Motor,470 km,168 Wh/km,"79,0 kWh"
BMW,i3 94 Ah,165 km,165 Wh/km,"27,2 kWh"
Tesla,Model 3 Long Range RWD,475 km,155 Wh/km,"73,5 kWh"
Audi,e-tron GT RS,405 km,210 Wh/km,"85,0 kWh"
MG,Marvel R,365 km,192 Wh/km,"70,0 kWh"
Audi,Q4 e-tron 50 quattro,385 km,199 Wh/km,"76,6 kWh"
MG,MG4 Electric XPOWER,320 km,193 Wh/km,"61,7 kWh"
Nissan,Ariya 63kWh,335 km,188 Wh/km,"63,0 kWh"
Tesla,Model X Plaid,465 km,204 Wh/km,"95,0 kWh"
Skoda,Enyaq Coupe 85,470 km,164 Wh/km,"77,0 kWh"
XPENG,P7 RWD Long Range,495 km,167 Wh/km,"82,7 kWh"
Renault,5 E-Tech 40kWh 95hp,255 km,157 Wh/km,"40,0 kWh"
BMW,i5 M60 xDrive Sedan,420 km,193 Wh/km,"81,2 kWh"
Fiat,600e,310 km,164 Wh/km,"50,8 kWh"
Ford,Explorer Extended Range AWD,440 km,180 Wh/km,"79,0 kWh"
Citroen,e-C3 Aircross,250 km,176 Wh/km,"44,0 kWh"
Tesla,Model S Performance,535 km,183 Wh/km,"98,0 kWh"
Polestar,3 Long Range Single motor,500 km,214 Wh/km,"107,0 kWh"
Tesla,Model S P85D,390 km,207 Wh/km,"80,8 kWh"
Volkswagen,ID. Buzz LWB Pro,370 km,232 Wh/km,"86,0 kWh"
Volkswagen,ID.3 Pro Performance,350 km,166 Wh/km,"58,0 kWh"
Zeekr,X Privilege AWD,345 km,186 Wh/km,"64,0 kWh"
Citroen,e-C4 X 54 kWh,340 km,149 Wh/km,"50,8 kWh"
Opel,Frontera 44 kWh,250 km,176 Wh/km,"44,0 kWh"
CUPRA,Born VZ,465 km,170 Wh/km,"79,0 kWh"
Mercedes-Benz,EQE 350+,525 km,173 Wh/km,"90,6 kWh"
Volvo,EC40 Single Motor ER,420 km,188 Wh/km,"79,0 kWh"
CUPRA,Born 170 kW - 59 kWh,360 km,164 Wh/km,"59,0 kWh"
BMW,i3s 120 Ah,230 km,165 Wh/km,"37,9 kWh"
Peugeot,e-208,270 km,171 Wh/km,"46,3 kWh"
Volkswagen,e-Up!,205 km,158 Wh/km,"32,3 kWh"
Tesla,Model S 75,380 km,191 Wh/km,"72,5 kWh"
Smart,#1 Brabus,325 km,191 Wh/km,"62,0 kWh"
Volvo,EX90 Twin Motor Performance,450 km,238 Wh/km,"107,0 kWh"
Omoda,E5,345 km,177 Wh/km,"61,0 kWh"
Mercedes-Benz,EQE 350+,530 km,171 Wh/km,"90,6 kWh"
Mercedes-Benz,EQA 250,360 km,185 Wh/km,"66,5 kWh"
Mini,Cooper SE,180 km,161 Wh/km,"28,9 kWh"
Jaguar,I-Pace EV400,380 km,223 Wh/km,"84,7 kWh"
Hyundai,IONIQ 9 Long Range RWD,495 km,214 Wh/km,"106,0 kWh"
Tesla,Model S Long Range Plus,555 km,177 Wh/km,"98,0 kWh"
Volkswagen,ID.3 1st,350 km,166 Wh/km,"58,0 kWh"
Volkswagen,e-Golf,125 km,164 Wh/km,"20,5 kWh"
Renault,Zoe Q210,130 km,179 Wh/km,"23,3 kWh"
Audi,Q4 e-tron 35,285 km,182 Wh/km,"52,0 kWh"
Volvo,EX40 Single Motor,345 km,194 Wh/km,"67,0 kWh"
Kia,e-Niro 64 kWh,375 km,171 Wh/km,"64,0 kWh"
Audi,A6 Avant e-tron quattro,535 km,177 Wh/km,"94,9 kWh"
Maxus,MIFA 9,365 km,230 Wh/km,"84,0 kWh"
Skoda,Enyaq 85x,450 km,171 Wh/km,"77,0 kWh"
XPENG,G9 AWD Performance,465 km,200 Wh/km,"93,1 kWh"
Kia,EV9 99.8 kWh AWD GT-Line,425 km,226 Wh/km,"96,0 kWh"
Mercedes-Benz,EQS 450 4MATIC,660 km,179 Wh/km,"118,0 kWh"
BMW,i4 xDrive40,490 km,166 Wh/km,"81,3 kWh"
NIO,EL8 Long Range,440 km,205 Wh/km,"90,0 kWh"
Zeekr,X Long Range RWD,355 km,180 Wh/km,"64,0 kWh"
Tesla,Model X 75D,335 km,216 Wh/km,"72,5 kWh"
BMW,iX M60,485 km,217 Wh/km,"105,2 kWh"
Citroen,e-C4 X,285 km,162 Wh/km,"46,3 kWh"
Tesla,Model Y,350 km,164 Wh/km,"57,5 kWh"
Polestar,3 Long Range Dual motor,485 km,221 Wh/km,"107,0 kWh"
Alfa,Romeo Junior Elettrica 54 kWh,320 km,159 Wh/km,"50,8 kWh"
Audi,Q6 e-tron,395 km,192 Wh/km,"75,8 kWh"
Lancia,Ypsilon,310 km,155 Wh/km,"48,1 kWh"
XPENG,P7 Wing Edition,455 km,182 Wh/km,"82,7 kWh"
Volkswagen,ID.4 GTX,420 km,183 Wh/km,"77,0 kWh"
Nissan,Leaf 24 kWh,135 km,163 Wh/km,"22,0 kWh"
Kia,EV9 99.8 kWh RWD,450 km,213 Wh/km,"96,0 kWh"
Opel,Ampera-e,335 km,173 Wh/km,"58,0 kWh"
Volkswagen,ID.3 Pro,350 km,166 Wh/km,"58,0 kWh"
Volkswagen,ID.4 GTX,400 km,193 Wh/km,"77,0 kWh"
BMW,i3 60 Ah,115 km,163 Wh/km,"18,8 kWh"
Volkswagen,ID.3 GTX,460 km,172 Wh/km,"79,0 kWh"
Peugeot,e-308,300 km,169 Wh/km,"50,8 kWh"
Smart,#3 Premium,355 km,175 Wh/km,"62,0 kWh"
Lucid,Air Touring,580 km,159 Wh/km,"92,0 kWh"
Tesla,Model S 70D,350 km,190 Wh/km,"66,5 kWh"
Polestar,2 Standard Range Single Motor,415 km,164 Wh/km,"68,0 kWh"
Mercedes-Benz,EQE 350 4MATIC,510 km,175 Wh/km,"89,0 kWh"
Tesla,Model X P100D,420 km,226 Wh/km,"95,0 kWh"
Nissan,e-NV200 Evalia,170 km,218 Wh/km,"37,0 kWh"
Seres,3,260 km,196 Wh/km,"51,0 kWh"
VinFast,VF 9 Extended Range,515 km,239 Wh/km,"123,0 kWh"
Cadillac,Lyriq 600 E4,460 km,222 Wh/km,"102,0 kWh"
MG,Marvel R Performance,350 km,200 Wh/km,"70,0 kWh"
Peugeot,e-208 50 kWh,290 km,160 Wh/km,"46,3 kWh"
BMW,i5 eDrive40 Touring,455 km,178 Wh/km,"81,2 kWh"
Renault,5 E-Tech 40kWh 120hp,250 km,160 Wh/km,"40,0 kWh"
Alpine,A290 Electric 220 hp,305 km,170 Wh/km,"52,0 kWh"
Mercedes-Benz,EQV 300 Long,310 km,290 Wh/km,"90,0 kWh"
Polestar,2 Long Range Dual Motor,450 km,176 Wh/km,"79,0 kWh"
Audi,e-tron Sportback 55 quattro,380 km,228 Wh/km,"86,5 kWh"
Skoda,Enyaq iV 80x,425 km,181 Wh/km,"77,0 kWh"
Mercedes-Benz,EQB 350 4MATIC,340 km,196 Wh/km,"66,5 kWh"
Kia,EV6 GT,385 km,208 Wh/km,"80,0 kWh"
Mini,Cooper E,250 km,146 Wh/km,"36,6 kWh"
Volkswagen,ID.4 Pure,285 km,182 Wh/km,"52,0 kWh"
Volvo,XC40 Recharge Single Motor ER,400 km,198 Wh/km,"79,0 kWh"
Nissan,Leaf 30 kWh,170 km,165 Wh/km,"28,0 kWh"
Tesla,Model S P90D,415 km,206 Wh/km,"85,5 kWh"
BYD,DOLPHIN 44.9 kWh Active,265 km,169 Wh/km,"44,9 kWh"
Opel,Corsa-e,285 km,162 Wh/km,"46,3 kWh"
BMW,i7 M70 xDrive,490 km,208 Wh/km,"101,7 kWh"
Nissan,Leaf,125 km,176 Wh/km,"22,0 kWh"
Volkswagen,ID. Buzz LWB GTX,355 km,242 Wh/km,"86,0 kWh"
Mini,Aceman SE,290 km,170 Wh/km,"49,2 kWh"
Mercedes-Benz,EQS 450+,635 km,171 Wh/km,"108,4 kWh"
XPENG,G9 RWD Standard Range,395 km,192 Wh/km,"75,8 kWh"
Volkswagen,ID.3 Pure Performance,275 km,164 Wh/km,"45,0 kWh"
Volkswagen,ID.4 1st,410 km,188 Wh/km,"77,0 kWh"
